measured_at,places_per_million
2026-08-18T1551Z,0.002011
2026-08-18T1555Z,0.000427
2026-08-18T1558Z,0.000427
2026-08-18T1631Z,0.000427
2026-08-18T1735Z,0.000427
2026-08-18T1738Z,0.000427
2026-08-18T1747Z,0.000427
2026-08-18T1803Z,0.000183
2026-08-18T1807Z,0.000183
2026-08-18T1817Z,0.000183
2026-08-18T1828Z,0.000413
2026-08-18T1831Z,0.000413
2026-08-18T1933Z,0.000413
2026-08-18T1937Z,0.000413
2026-08-18T1939Z,0.000413
2026-08-18T1958Z,0.000413
2026-08-18T2000Z,0.000413
2026-08-18T2004Z,0.000413
2026-08-18T2016Z,0.000413
2026-08-18T2018Z,0.000413
2026-08-18T2052Z,0.000413
2026-08-18T2055Z,0.000413
2026-08-18T2108Z,0.000413
2026-08-18T2111Z,0.000413
2026-08-18T2142Z,0.000413
2026-08-18T2145Z,0.000413
2026-08-18T2150Z,0.000413
2026-08-18T2211Z,0.000413
2026-08-18T2213Z,0.000413
2026-08-18T2218Z,0.000413
2026-08-18T2219Z,0.000413
2026-08-18T2236Z,0.000413
2026-08-18T2246Z,0.000000
2026-08-18T2252Z,0.000000
2026-08-18T2303Z,0.000000
2026-08-18T2308Z,0.000000
2026-08-18T2310Z,0.000000
2026-08-18T2322Z,0.000000
2026-08-18T2324Z,0.000000
2026-08-18T2328Z,0.000000
2026-08-18T2335Z,0.000000
2026-08-18T2337Z,0.000000
2026-08-18T2339Z,0.000000
2026-08-18T2343Z,0.000000
2026-08-18T2346Z,0.000000
2026-08-18T2348Z,0.000000
2026-08-18T2352Z,0.000000
2026-08-18T2355Z,0.000000
2026-08-19T0000Z,0.000000
2026-08-19T0006Z,0.000114
2026-08-19T0010Z,0.000114
2026-08-19T0018Z,0.000114
2026-08-19T0021Z,0.000114
2026-08-19T0025Z,0.000057
2026-08-19T0026Z,0.000057
2026-08-19T0027Z,0.000057
2026-08-19T0028Z,0.000057
2026-08-19T0030Z,0.000057
2026-08-19T0838Z,0.000057
2026-08-19T0838Z,0.000057
2026-08-19T0840Z,0.000057
2026-08-19T0842Z,0.000057
2026-08-19T0842Z,0.000057
2026-08-19T0849Z,0.000057
2026-08-19T0850Z,0.000057
2026-08-19T0852Z,0.000057
2026-08-19T0855Z,0.000057
2026-08-19T0856Z,0.000057
2026-08-19T0856Z,0.000057
2026-08-19T0903Z,0.000057
2026-08-19T0904Z,0.000057
2026-08-19T0905Z,0.000057
2026-08-19T0905Z,0.000057
2026-08-19T0906Z,0.000057
2026-08-19T0907Z,0.000057
2026-08-19T0907Z,0.000057
2026-08-19T0908Z,0.000057
2026-08-19T0908Z,0.000057
2026-08-19T0908Z,0.000057
2026-08-19T0908Z,0.000057
2026-08-19T0909Z,0.000057
2026-08-19T0910Z,0.000057
2026-08-19T0910Z,0.000057
2026-08-19T0910Z,0.000057
2026-08-19T0910Z,0.000057
2026-08-19T0911Z,0.000057
2026-08-19T0912Z,0.000114
2026-08-19T0912Z,0.000114
2026-08-19T0913Z,0.000114
2026-08-19T0913Z,0.000114
2026-08-19T0942Z,0.000114
2026-08-19T1018Z,0.000114
2026-08-19T1246Z,0.000057
2026-08-19T1452Z,0.000057
2026-08-19T1455Z,0.000057
2026-08-19T1509Z,0.000057
2026-08-19T1521Z,0.000057
2026-08-19T1534Z,0.000057
2026-08-19T1544Z,0.000057
2026-08-19T1606Z,0.000114
2026-08-19T1610Z,0.000114
2026-08-19T1622Z,0.000114
2026-08-19T1639Z,0.000114
2026-08-19T1724Z,0.000114
2026-08-19T1728Z,0.000114
2026-08-19T1729Z,0.000114
2026-08-19T1729Z,0.000114
2026-08-19T1731Z,0.000114
