observed_at,feature,position,n,mae_feature,mae_baseline,beats,verdict,notes
2026-09-12T2151Z,team_clean_sheet_rate,defensa+portero,157,3.0175,2.9933,False,no effect,binary clean-sheet history vs pooled baseline; likely redundant with existing Elo fix_factor
2026-09-12T2151Z,team_goals_conceded,defensa,135,2.6344,2.6590,False,no effect,"continuous version, still ~flat (2.634 vs 2.659)"
2026-09-12T2151Z,team_goals_conceded,portero,22,5.2773,5.0519,False,no effect,worse than baseline
2026-09-12T2151Z,team_goals_scored,delantero,107,2.9557,2.8868,False,no effect,worse than pooled baseline both positions; redundant with existing Elo atk_factor
2026-09-12T2151Z,team_goals_scored,mediocampista,137,2.8628,2.7533,False,no effect,worse than pooled baseline both positions; redundant with existing Elo atk_factor
2026-09-12T2152Z,set_piece_taker_flag,all,,,,,not testable,"no data source identifies penalty/corner TAKERS specifically — only team-level corner counts (sources.py home_corners/away_corners) and outcome stats (penalty_won/saved/failed, which credit who drew/saved/missed a penalty, not who is the designated taker). Would need a new scrape target; not attempted this session."
2026-09-12T2152Z,home_away_flag,all,409,2.9080,2.8764,False,no effect,binary home indicator vs pooled baseline
2026-09-12T2152Z,home_away_flag,delantero,107,2.9456,2.8868,False,no effect,binary home indicator vs pooled baseline
2026-09-12T2152Z,home_away_flag,mediocampista,137,2.7745,2.7533,False,no effect,binary home indicator vs pooled baseline
2026-09-12T2152Z,home_away_flag,defensa,135,2.6600,2.6590,False,no effect,binary home indicator vs pooled baseline
2026-09-12T2152Z,home_away_flag,portero,22,5.1595,5.0519,False,no effect,binary home indicator vs pooled baseline
2026-09-12T2152Z,recency_last_jornada_only,all,388,3.3716,3.3627,False,no effect,single most-recent jornada vs pooled baseline (full history already shrinkage-blended live)
2026-09-12T2152Z,recency_last_jornada_only,delantero,100,3.6263,3.7770,False,marginal improvement,single most-recent jornada vs pooled baseline (full history already shrinkage-blended live)
2026-09-12T2152Z,recency_last_jornada_only,mediocampista,130,3.0552,3.0054,False,no effect,single most-recent jornada vs pooled baseline (full history already shrinkage-blended live)
2026-09-12T2152Z,recency_last_jornada_only,defensa,131,2.9313,3.0011,False,marginal improvement,single most-recent jornada vs pooled baseline (full history already shrinkage-blended live)
2026-09-12T2152Z,recency_last_jornada_only,portero,21,5.4673,5.2143,False,no effect,single most-recent jornada vs pooled baseline (full history already shrinkage-blended live)
2026-09-12T2220Z,NEUTRAL_START_fit,all,25,0.0000,0.0000,,kept,60.0 -> live-fitted ~56.2 via the same anti-hindsight cutoff Calibration.fit() already uses (stricter than the standalone n=25/51%% check that motivated it)
2026-09-12T2220Z,ABSENT_START_fit,all,12,0.0000,0.0000,,kept,"15.0 -> live-fitted ~14.2 with the strict cutoff (standalone check with more data showed 0/12 real starts, suggesting more room to move once more of the season accumulates)"
2026-09-12T2222Z,PROMOTED_DISCOUNT_check,defensa/mediocampista/delantero/portero,,,,,not enough independent data,"only 1 promoted team this season (Deportivo) — real position-matched ratios vs league ppm: DEF 0.86, MED 0.91, DEL 1.31 (outperforming!), POR 0.79. Directionally suggests flat 0.70 is wrong (too harsh for DEF/MED/POR, wrong-signed for DEL), but n=1 correlated club is not enough to fit a new multiplier confidently. Revisit once more promoted-club seasons accumulate."
2026-09-12T2222Z,FIX_BAND_check,all,,,,,not worth fitting now,"checked live board basis this run: 10 clubs use attack_defense (real goals), 2 use elo, 0 use the rank-based fallback FIX_BAND scales. It currently has zero live reach — fitting it would change nothing today. Revisit if/when a club actually falls back to rank (a very new/data-poor club with no results_history.csv coverage)."
