observed_at,n,mae,naive_mae
2026-09-12T2118Z,59,2.9989,3.0790
2026-09-12T2126Z,59,2.9989,3.0790
2026-09-12T2135Z,59,2.9989,3.0790
2026-09-12T2154Z,59,2.9989,3.0790
2026-09-12T2211Z,59,2.9989,3.0790
2026-09-12T2212Z,59,2.9989,3.0790
2026-09-12T2219Z,59,2.9989,3.0790
2026-09-13T0438Z,64,3.0995,3.1797
2026-09-13T0622Z,64,3.0995,3.1797
2026-09-13T0708Z,64,3.0995,3.1797
2026-09-13T0747Z,59,3.0131,3.1732
2026-09-13T0753Z,59,3.0131,3.1732
2026-09-13T0757Z,59,3.0131,3.1732
2026-09-13T0803Z,59,3.0131,3.1732
2026-09-13T0805Z,59,3.0131,3.1732
2026-09-13T0818Z,59,3.0131,3.1732
2026-09-13T0831Z,59,3.0131,3.1732
2026-09-13T0837Z,59,3.0131,3.1732
2026-09-13T0856Z,59,3.0131,3.1732
2026-09-13T0918Z,59,3.0131,3.1732
2026-09-13T0927Z,59,3.0131,3.1732
2026-09-13T1315Z,59,3.0131,3.1732
2026-09-13T1340Z,59,3.0131,3.1732
2026-09-13T1344Z,59,3.0131,3.1732
2026-09-13T1350Z,59,3.0131,3.1732
