observed_at,manager,players,spend,proceeds,cash,cash_confidence
2026-08-13T09:24Z,miguel_autentico,15,6892898,0,93579870,known
2026-08-13T09:24Z,Albert Laporta,11,49991863,30472425,80480562,estimated
2026-08-13T09:24Z,BurtonGM89,17,125025000,468693,,unknown
2026-08-13T09:24Z,Magic Mike 333,18,83699269,0,16300731,estimated
2026-08-13T09:24Z,SusoGattuso,14,0,0,100000000,estimated
2026-08-13T10:41Z,miguel_autentico,15,6892898,0,93579870,known
2026-08-13T10:41Z,Albert Laporta,11,49991863,30472425,80480562,estimated
2026-08-13T10:41Z,BurtonGM89,17,125025000,468693,,unknown
2026-08-13T10:41Z,Magic Mike 333,18,83699269,0,16300731,estimated
2026-08-13T10:41Z,SusoGattuso,14,0,0,100000000,estimated
2026-08-13T11:00Z,miguel_autentico,15,6892898,0,93579870,known
2026-08-13T11:00Z,Albert Laporta,11,49991863,30472425,80480562,estimated
2026-08-13T11:00Z,BurtonGM89,17,125025000,468693,,unknown
2026-08-13T11:00Z,Magic Mike 333,18,83699269,0,16300731,estimated
2026-08-13T11:00Z,SusoGattuso,14,0,0,100000000,estimated
2026-08-13T11:20Z,miguel_autentico,12,6892898,17793459,111373329,known
2026-08-13T11:20Z,Albert Laporta,11,49991863,30472425,80480562,estimated
2026-08-13T11:20Z,BurtonGM89,17,125025000,468693,,unknown
2026-08-13T11:20Z,Magic Mike 333,18,83699269,0,16300731,estimated
2026-08-13T11:20Z,SusoGattuso,14,0,0,100000000,estimated
2026-08-13T15:35Z,miguel_autentico,12,6892898,17793459,111373329,known
2026-08-13T15:35Z,Albert Laporta,11,49991863,30472425,80480562,estimated
2026-08-13T15:35Z,BurtonGM89,17,125025000,468693,,unknown
2026-08-13T15:35Z,Magic Mike 333,18,83699269,0,16300731,estimated
2026-08-13T15:35Z,SusoGattuso,14,0,0,100000000,estimated
2026-08-13T19:46Z,miguel_autentico,12,6892898,17793459,111373329,known
2026-08-13T19:46Z,Albert Laporta,11,49991863,30472425,80480562,estimated
2026-08-13T19:46Z,BurtonGM89,17,125025000,468693,,unknown
2026-08-13T19:46Z,Magic Mike 333,18,83699269,0,16300731,estimated
2026-08-13T19:46Z,SusoGattuso,14,0,0,100000000,estimated
2026-08-13T21:45Z,miguel_autentico,12,6892898,17793459,111373329,known
2026-08-13T21:45Z,Albert Laporta,11,49991863,30472425,80480562,estimated
2026-08-13T21:45Z,BurtonGM89,17,125025000,468693,,unknown
2026-08-13T21:45Z,Magic Mike 333,18,83699269,0,16300731,estimated
2026-08-13T21:45Z,SusoGattuso,14,0,0,100000000,estimated
2026-08-13T22:15Z,miguel_autentico,12,6892898,17793459,111373329,known
2026-08-13T22:15Z,Albert Laporta,14,125282482,30472425,5189943,estimated
2026-08-13T22:15Z,BurtonGM89,13,127605315,30028864,2423549,estimated
2026-08-13T22:15Z,Magic Mike 333,18,83699269,0,16300731,estimated
2026-08-13T22:15Z,SusoGattuso,15,44652302,0,55347698,estimated
2026-08-13T23:23Z,miguel_autentico,12,6892898,17793459,111373329,known
2026-08-13T23:23Z,Albert Laporta,14,125282482,30472425,5189943,estimated
2026-08-13T23:23Z,BurtonGM89,13,127605315,30028864,2423549,estimated
2026-08-13T23:23Z,Magic Mike 333,18,83699269,0,16300731,estimated
2026-08-13T23:23Z,SusoGattuso,15,44652302,0,55347698,estimated
2026-08-14T10:40Z,miguel_autentico,12,6892898,17793459,111373329,known
2026-08-14T10:40Z,Albert Laporta,14,125282482,30472425,5189943,estimated
2026-08-14T10:40Z,BurtonGM89,13,127605315,30028864,2423549,estimated
2026-08-14T10:40Z,Magic Mike 333,18,83699269,0,16300731,estimated
2026-08-14T10:40Z,SusoGattuso,15,44652302,0,55347698,estimated
2026-08-14T20:48Z,miguel_autentico,15,55374119,17793459,62892108,known
2026-08-14T20:48Z,Albert Laporta,14,125282482,30472425,5189943,estimated
2026-08-14T20:48Z,BurtonGM89,13,127605315,30028864,2423549,estimated
2026-08-14T20:48Z,Magic Mike 333,19,121232920,14013107,,unknown
2026-08-14T20:48Z,SusoGattuso,16,62437853,0,37562147,estimated
