logged_at,hours_to_lock,n_xi,xi,bench,warnings
2026-08-13T1507Z,,11,alvaro fernandez|benat turrientes|carl starfelt|dani lorenzo|igor zubeldia|inigo ruiz de galarreta|inigo vicente|jon moncayola|omar el hilali|robin le normand|ruben garcia,pepelu,
2026-08-13T1535Z,,11,alvaro fernandez|benat turrientes|carl starfelt|dani lorenzo|igor zubeldia|inigo ruiz de galarreta|inigo vicente|jon moncayola|omar el hilali|robin le normand|ruben garcia,pepelu,
2026-08-13T1946Z,,11,alvaro fernandez|benat turrientes|carl starfelt|dani lorenzo|igor zubeldia|inigo ruiz de galarreta|inigo vicente|jon moncayola|omar el hilali|robin le normand|ruben garcia,pepelu,
2026-08-13T2145Z,,11,alvaro fernandez|benat turrientes|carl starfelt|dani lorenzo|igor zubeldia|inigo ruiz de galarreta|inigo vicente|jon moncayola|omar el hilali|robin le normand|ruben garcia,pepelu,
2026-08-13T2215Z,,11,alvaro fernandez|benat turrientes|carl starfelt|dani lorenzo|igor zubeldia|inigo ruiz de galarreta|inigo vicente|jon moncayola|omar el hilali|robin le normand|ruben garcia,pepelu,
2026-08-13T2323Z,,11,alvaro fernandez|benat turrientes|carl starfelt|dani lorenzo|igor zubeldia|inigo ruiz de galarreta|inigo vicente|jon moncayola|omar el hilali|robin le normand|ruben garcia,pepelu,
2026-08-14T1040Z,,11,alvaro fernandez|benat turrientes|carl starfelt|dani lorenzo|igor zubeldia|inigo ruiz de galarreta|inigo vicente|jon moncayola|omar el hilali|robin le normand|ruben garcia,pepelu,
2026-08-14T2048Z,,14,agoume|alvaro fernandez|benat turrientes|carl starfelt|dani lorenzo|eriksson|igor zubeldia|inigo ruiz de galarreta|inigo vicente|ionut radu|jon moncayola|omar el hilali|robin le normand|ruben garcia,pepelu,14 players for an XI of 11 — bench 3 more
2026-08-14T2157Z,,14,agoume|alvaro fernandez|benat turrientes|carl starfelt|dani lorenzo|eriksson|igor zubeldia|inigo ruiz de galarreta|inigo vicente|ionut radu|jon moncayola|omar el hilali|robin le normand|ruben garcia,pepelu,14 players for an XI of 11 — bench 3 more
2026-08-14T2257Z,,14,agoume|alvaro fernandez|benat turrientes|carl starfelt|dani lorenzo|eriksson|igor zubeldia|inigo ruiz de galarreta|inigo vicente|ionut radu|jon moncayola|omar el hilali|robin le normand|ruben garcia,pepelu,14 players for an XI of 11 — bench 3 more
2026-08-15T0702Z,,14,agoume|alvaro fernandez|benat turrientes|carl starfelt|dani lorenzo|eriksson|igor zubeldia|inigo ruiz de galarreta|inigo vicente|ionut radu|jon moncayola|omar el hilali|robin le normand|ruben garcia,pepelu,14 players for an XI of 11 — bench 3 more
2026-08-15T0720Z,,14,agoume|alvaro fernandez|benat turrientes|carl starfelt|dani lorenzo|eriksson|igor zubeldia|inigo ruiz de galarreta|inigo vicente|ionut radu|jon moncayola|omar el hilali|robin le normand|ruben garcia,pepelu,14 players for an XI of 11 — bench 3 more
2026-08-15T0826Z,8.6,14,agoume|alvaro fernandez|benat turrientes|carl starfelt|dani lorenzo|eriksson|igor zubeldia|inigo ruiz de galarreta|inigo vicente|ionut radu|jon moncayola|omar el hilali|robin le normand|ruben garcia,pepelu,14 players for an XI of 11 — bench 3 more
2026-08-15T0833Z,8.4,11,benat turrientes|carl starfelt|dani lorenzo|igor zubeldia|inigo ruiz de galarreta|inigo vicente|ionut radu|jon moncayola|omar el hilali|robin le normand|ruben garcia,agoume|alvaro fernandez|eriksson|pepelu,
2026-08-15T1014Z,6.8,11,benat turrientes|carl starfelt|dani lorenzo|igor zubeldia|inigo ruiz de galarreta|inigo vicente|ionut radu|jon moncayola|omar el hilali|robin le normand|ruben garcia,agoume|alvaro fernandez|eriksson|pepelu,
