from_stamp,to_stamp,season,ff_id,player_name,player_name_full,team,points_delta,games_delta,points_total,games_total,jornada
2026-08-16T0917Z,2026-08-16T2253Z,2026-27,132,Canales,Sergio Canales,Racing,4,1,4,1,1
2026-08-16T0917Z,2026-08-16T2253Z,2026-27,3671,Villalibre,Asier Villalibre,Racing,1,1,1,1,1
2026-08-16T0917Z,2026-08-16T2253Z,2026-27,3836,Hernando,Manu Hernando,Racing,4,1,4,1,1
2026-08-16T0917Z,2026-08-16T2253Z,2026-27,6442,Iñigo Vicente,Iñigo Vicente,Racing,6,1,6,1,1
2026-08-16T0917Z,2026-08-16T2253Z,2026-27,6890,Andrés Martín,Andrés Martín,Racing,8,1,8,1,1
2026-08-16T0917Z,2026-08-16T2253Z,2026-27,8972,Pablo Ramón,Pablo Ramón,Racing,3,1,3,1,1
2026-08-16T0917Z,2026-08-16T2253Z,2026-27,9213,Agirrezabala,Julen Agirrezabala,Racing,5,1,5,1,1
2026-08-16T0917Z,2026-08-16T2253Z,2026-27,10209,Facu González,Facundo González,Racing,1,1,1,1,1
2026-08-16T0917Z,2026-08-16T2253Z,2026-27,10336,Mantilla,Álvaro Mantilla,Racing,-1,1,-1,1,1
2026-08-16T0917Z,2026-08-16T2253Z,2026-27,12079,Puerta,Gustavo Puerta,Racing,5,1,5,1,1
2026-08-16T0917Z,2026-08-16T2253Z,2026-27,14105,Salinas,Jorge Salinas,Racing,3,1,3,1,1
2026-08-16T0917Z,2026-08-16T2253Z,2026-27,14155,Maguette,Maguette Gueye,Racing,2,1,2,1,1
2026-08-16T0917Z,2026-08-16T2253Z,2026-27,14866,Diego Diaz,Diego Diaz,Racing,1,1,1,1,1
2026-08-16T0917Z,2026-08-16T2253Z,2026-27,16262,Sergio Martínez,Sergio Martínez,Racing,9,1,9,1,1
2026-08-16T0917Z,2026-08-16T2253Z,2026-27,16760,Pedro Felipe,Pedro Felipe,Racing,2,1,2,1,1
2026-08-16T0917Z,2026-08-16T2253Z,2026-27,18282,Zabiri,Yassir Zabiri,Racing,0,1,0,1,1
2026-08-16T0917Z,2026-08-16T2253Z,2026-27,843,Gerard,Gerard Moreno,Villarreal,5,1,5,1,1
2026-08-16T0917Z,2026-08-16T2253Z,2026-27,1566,Mandi,Aissa Mandi,Levante,0,1,0,1,1
