observed_at,season,player_name,player_name_full,team,points,games,avg
2026-08-11T1439Z,2025-26,R. de Galarreta,Íñigo Ruiz de Galarreta,Athletic,156,34,4.590
2026-08-11T1439Z,2025-26,Yuri,Yuri Berchiche,Athletic,163,32,5.090
2026-08-11T1439Z,2025-26,I. Williams,Iñaki Williams,Athletic,132,30,4.400
2026-08-11T1439Z,2025-26,Lekue,Íñigo Lekue,Athletic,16,11,1.450
2026-08-11T1439Z,2025-26,Berenguer,Álex Berenguer,Athletic,148,31,4.770
2026-08-11T1439Z,2025-26,Vesga,Mikel Vesga,Athletic,45,23,1.960
2026-08-11T1439Z,2025-26,Unai Simón,Unai Simón,Athletic,211,37,5.700
2026-08-11T1439Z,2025-26,Gorosabel,Andoni Gorosabel,Athletic,60,24,2.500
2026-08-11T1439Z,2025-26,Vivian,Dani Vivian,Athletic,124,31,4.000
2026-08-11T1439Z,2025-26,Guruzeta,Gorka Guruzeta,Athletic,165,35,4.710
2026-08-11T1439Z,2025-26,Navarro,Robert Navarro,Athletic,125,32,3.910
2026-08-11T1439Z,2025-26,Areso,Jesús Areso,Athletic,81,26,3.120
2026-08-11T1439Z,2025-26,Paredes,Aitor Paredes,Athletic,91,19,4.790
2026-08-11T1439Z,2025-26,Serrano,Nico Serrano,Athletic,45,16,2.810
2026-08-11T1439Z,2025-26,N. Williams,Nico Williams,Athletic,157,25,6.280
2026-08-11T1439Z,2025-26,Padilla,Alex Padilla,Athletic,-3,1,-3.000
2026-08-11T1439Z,2025-26,Boiro,Adama Boiro,Athletic,28,14,2.000
2026-08-11T1439Z,2025-26,Jauregizar,Mikel Jauregizar,Athletic,147,36,4.080
2026-08-11T1439Z,2025-26,Sannadi,Maroan Sannadi,Athletic,20,10,2.000
2026-08-11T1439Z,2025-26,Izeta,Urko Izeta,Athletic,24,13,1.850
2026-08-11T1439Z,2025-26,De Luis,Jon de Luis,Athletic,0,0,0.000
2026-08-11T1439Z,2025-26,Rego,Alejandro Rego,Athletic,69,29,2.380
2026-08-11T1439Z,2025-26,Sancet,Oihan Sancet,Athletic,107,28,3.820
2026-08-11T1439Z,2025-26,Prados,Beñat Prados,Athletic,6,2,3.000
2026-08-11T1439Z,2025-26,Unai Gómez,Unai Gómez,Athletic,49,26,1.880
2026-08-11T1439Z,2025-26,Santos,Mikel Santos,Athletic,0,0,0.000
2026-08-11T1439Z,2025-26,Laporte,Aymeric Laporte,Athletic,105,25,4.200
2026-08-11T1439Z,2025-26,Monreal,Iker Monreal,Athletic,0,0,0.000
2026-08-11T1439Z,2025-26,Ibon Sánchez,Ibon Sánchez,Athletic,0,0,0.000
2026-08-11T1439Z,2025-26,Selton,Selton Sánchez,Athletic,15,7,2.140
2026-08-11T1439Z,2025-26,Hierro,Asier Hierro,Athletic,2,1,2.000
2026-08-11T1439Z,2025-26,Buján,Endika Buján,Athletic,0,0,0.000
2026-08-11T1439Z,2025-26,Eder García,Eder García,Athletic,2,2,1.000
2026-08-11T1439Z,2025-26,Yeray,Yeray Álvarez,Athletic,28,7,4.000
2026-08-11T1439Z,2025-26,Egiluz,Unai Egiluz,Athletic,0,0,0.000
2026-08-11T1439Z,2025-26,Gift,Elijah Gift,Athletic,0,0,0.000
2026-08-11T1439Z,2025-26,Koke,Koke Resurrección,Atlético,158,34,4.650
2026-08-11T1439Z,2025-26,Griezmann,Antoine Griezmann,Atlético,170,34,5.000
2026-08-11T1439Z,2025-26,Oblak,Jan Oblak,Atlético,208,30,6.930
