player_name,player_name_full,team,points,games,avg,ff_id,season,observed_at,source_url
R. de Galarreta,Íñigo Ruiz de Galarreta,Athletic,156,34,4.590,44,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
Yuri,Yuri Berchiche,Athletic,163,32,5.090,735,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
I. Williams,Iñaki Williams,Athletic,132,30,4.400,1934,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
Lekue,Íñigo Lekue,Athletic,16,11,1.450,2114,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
Berenguer,Álex Berenguer,Athletic,148,31,4.770,3204,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
Vesga,Mikel Vesga,Athletic,45,23,1.960,3249,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
Unai Simón,Unai Simón,Athletic,211,37,5.700,3693,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
Gorosabel,Andoni Gorosabel,Athletic,60,24,2.500,3799,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
Vivian,Dani Vivian,Athletic,124,31,4.000,5245,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
Guruzeta,Gorka Guruzeta,Athletic,165,35,4.710,5859,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
Navarro,Robert Navarro,Athletic,125,32,3.910,7293,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
Areso,Jesús Areso,Athletic,81,26,3.120,7638,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
Paredes,Aitor Paredes,Athletic,91,19,4.790,7916,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
Serrano,Nico Serrano,Athletic,45,16,2.810,7920,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
N. Williams,Nico Williams,Athletic,157,25,6.280,8693,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
Padilla,Alex Padilla,Athletic,-3,1,-3.000,10214,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
Boiro,Adama Boiro,Athletic,28,14,2.000,11688,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
Jauregizar,Mikel Jauregizar,Athletic,147,36,4.080,12605,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
Sannadi,Maroan Sannadi,Athletic,20,10,2.000,13830,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
Izeta,Urko Izeta,Athletic,24,13,1.850,14048,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
De Luis,Jon de Luis,Athletic,0,0,0.000,14051,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
Rego,Alejandro Rego,Athletic,69,29,2.380,15409,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
Sancet,Oihan Sancet,Athletic,107,28,3.820,7006,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
Prados,Beñat Prados,Athletic,6,2,3.000,7917,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
Unai Gómez,Unai Gómez,Athletic,49,26,1.880,11524,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
Santos,Mikel Santos,Athletic,0,0,0.000,14016,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
Laporte,Aymeric Laporte,Athletic,105,25,4.200,697,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
Monreal,Iker Monreal,Athletic,0,0,0.000,16350,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
Ibon Sánchez,Ibon Sánchez,Athletic,0,0,0.000,16352,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
Selton,Selton Sánchez,Athletic,15,7,2.140,16810,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
Hierro,Asier Hierro,Athletic,2,1,2.000,16818,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
Buján,Endika Buján,Athletic,0,0,0.000,15228,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
Eder García,Eder García,Athletic,2,2,1.000,16353,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
Yeray,Yeray Álvarez,Athletic,28,7,4.000,1972,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
Egiluz,Unai Egiluz,Athletic,0,0,0.000,11676,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
Gift,Elijah Gift,Athletic,0,0,0.000,17249,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
Koke,Koke Resurrección,Atlético,158,34,4.650,63,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
Griezmann,Antoine Griezmann,Atlético,170,34,5.000,465,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
Oblak,Jan Oblak,Atlético,208,30,6.930,1826,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
M. Llorente,Marcos Llorente,Atlético,154,29,5.310,1931,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
