observed_at,source,league_id,league_name,access,managers,team_id,money,team_value,team_points
2026-08-17T2246Z,laliga,017998544,Some Guys,private,5,38091967,23596582,213113164,
2026-08-17T2318Z,laliga,017998544,Some Guys,private,5,38091967,23596582,213113164,
2026-08-17T2345Z,laliga,017998544,Some Guys,private,5,38091967,23596582,213113164,
2026-08-18T0144Z,laliga,017998544,Some Guys,private,5,38091967,23596582,213113164,
2026-08-18T0152Z,laliga,017998544,Some Guys,private,5,38091967,23596582,213113164,
2026-08-18T0941Z,laliga,017998544,Some Guys,private,5,38091967,23696582,213113164,
2026-08-18T2241Z,laliga,017998544,Some Guys,private,5,38091967,-133023,236374060,
2026-08-18T2247Z,laliga,017998544,Some Guys,private,5,38091967,-133023,236374060,
2026-08-18T2258Z,laliga,017998544,Some Guys,private,5,38091967,-133023,236374060,
2026-08-18T2303Z,laliga,017998544,Some Guys,private,5,38091967,-133023,236374060,
2026-08-19T0013Z,laliga,017998544,Some Guys,private,5,38091967,-133023,236374060,
2026-08-19T0016Z,laliga,017998544,Some Guys,private,5,38091967,-133023,236374060,
2026-08-19T0019Z,laliga,017998544,Some Guys,private,5,38091967,-133023,236374060,
2026-08-19T0027Z,laliga,017998544,Some Guys,private,5,38091967,-133023,236374060,
2026-08-19T0029Z,laliga,017998544,Some Guys,private,5,38091967,-133023,236374060,
2026-08-19T0911Z,laliga,017998544,Some Guys,private,5,38091967,-33023,236374060,
2026-08-19T0941Z,laliga,017998544,Some Guys,private,5,38091967,-33023,236212434,
2026-08-19T1018Z,laliga,017998544,Some Guys,private,5,38091967,-33023,236212434,
2026-08-19T1245Z,laliga,017998544,Some Guys,private,5,38091967,-33023,236211099,
2026-08-19T1454Z,laliga,017998544,Some Guys,private,5,38091967,-33023,236156830,
2026-08-19T1639Z,laliga,017998544,Some Guys,private,5,38091967,-33023,236156830,
2026-08-19T1750Z,laliga,017998544,Some Guys,private,5,38091967,-33023,236156830,
2026-08-19T1823Z,laliga,017998544,Some Guys,private,5,38091967,8906184,226716200,
2026-08-19T1904Z,laliga,017998544,Some Guys,private,5,38091967,8906184,226716200,
2026-08-19T2220Z,laliga,017998544,Some Guys,private,5,38091967,8906184,226716200,
2026-08-19T2221Z,laliga,017998544,Some Guys,private,5,38091967,8906184,226716200,
2026-08-19T2307Z,laliga,017998544,Some Guys,private,5,38091967,15980874,220039658,
2026-08-19T2316Z,laliga,017998544,Some Guys,private,5,38091967,15980874,220039658,
2026-08-19T2356Z,laliga,017998544,Some Guys,private,5,38091967,15980874,220039658,
2026-08-20T0651Z,laliga,017998544,Some Guys,private,5,38091967,19080874,220039658,31
2026-08-20T0653Z,laliga,017998544,Some Guys,private,5,38091967,19080874,220039658,31
2026-08-20T0707Z,laliga,017998544,Some Guys,private,5,38091967,19180874,220039658,31
2026-08-20T0714Z,laliga,017998544,Some Guys,private,5,38091967,19180874,220039658,31
2026-08-20T0749Z,laliga,017998544,Some Guys,private,5,38091967,19180874,220039658,31
