observed_at,source,player_team_id,offer_id,money,status,created_at,expires_at,from_market
2026-08-25T1724Z,laliga,24338723,,,,,,
2026-08-25T1724Z,laliga,24338726,,,,,,
2026-08-25T1724Z,laliga,24338730,49892747,6795815,pending,2026-08-24T22:24:30+02:00,2026-08-25T22:24:00+02:00,true
2026-08-25T1724Z,laliga,24338731,,,,,,
2026-08-25T1724Z,laliga,24338732,,,,,,
2026-08-25T1724Z,laliga,24338733,49892748,10660710,pending,2026-08-24T22:24:30+02:00,2026-08-25T22:24:00+02:00,true
2026-08-25T1724Z,laliga,24338734,,,,,,
2026-08-25T1724Z,laliga,30254398,,,,,,
2026-08-25T1724Z,laliga,30254399,,,,,,
2026-08-25T1724Z,laliga,32308191,,,,,,
2026-08-25T1724Z,laliga,37280098,,,,,,
2026-08-25T1724Z,laliga,44068749,,,,,,
2026-08-25T1724Z,laliga,44068751,,,,,,
2026-08-25T2026Z,laliga,24338723,,,,,,
2026-08-25T2026Z,laliga,24338726,52578074,8570709,pending,2026-08-25T22:24:19+02:00,2026-08-26T22:24:00+02:00,true
2026-08-25T2026Z,laliga,24338730,52578063,6905684,pending,2026-08-25T22:24:19+02:00,2026-08-26T22:24:00+02:00,true
2026-08-25T2026Z,laliga,24338731,52578080,12499596,pending,2026-08-25T22:24:19+02:00,2026-08-26T22:24:00+02:00,true
2026-08-25T2026Z,laliga,24338732,52578078,13069406,pending,2026-08-25T22:24:19+02:00,2026-08-26T22:24:00+02:00,true
2026-08-25T2026Z,laliga,24338733,52578066,9677942,pending,2026-08-25T22:24:19+02:00,2026-08-26T22:24:00+02:00,true
2026-08-25T2026Z,laliga,24338734,,,,,,
2026-08-25T2026Z,laliga,30254398,,,,,,
2026-08-25T2026Z,laliga,30254399,,,,,,
2026-08-25T2026Z,laliga,32308191,,,,,,
2026-08-25T2026Z,laliga,37280098,,,,,,
2026-08-25T2026Z,laliga,44068749,52578076,5471823,pending,2026-08-25T22:24:19+02:00,2026-08-26T22:24:00+02:00,true
2026-08-25T2026Z,laliga,44068751,,,,,,
2026-08-25T2026Z,laliga,47459928,,,,,,
