observed_at,source,team_id,player_id,player_name,player_name_full,position_id,market_value
2026-08-17T2318Z,laliga,20,1031,Comesaña,Santiago Comesaña,3,33956265
2026-08-17T2318Z,laliga,18,1191,Hugo Duro,Hugo Duro Perales,4,8534068
2026-08-17T2318Z,laliga,2,1210,Giuliano,Giuliano Simeone,4,42907013
2026-08-17T2318Z,laliga,16,1215,Turrientes,Beñat Turrientes,3,7073131
2026-08-17T2318Z,laliga,4,1221,Gavi,Pablo Martín Páez Gavira,3,30940761
2026-08-17T2318Z,laliga,21,1337,Tenaglia,Nahuel Tenaglia,2,15621725
2026-08-17T2318Z,laliga,15,1674,Arda Güler,Arda Güler,3,54547883
2026-08-17T2318Z,laliga,20,1959,Mouriño,Santiago Mouriño,2,38378600
2026-08-17T2318Z,laliga,15,2146,Asencio,Raúl Asencio del Rosario,2,4206515
2026-08-17T2318Z,laliga,7,2294,R.P. Bigas,Pedro Bigas,2,4788457
2026-08-17T2318Z,laliga,3,2314,Vivian,Dani Vivian,2,9915249
2026-08-17T2318Z,laliga,3,2315,Paredes,Aitor Paredes,2,5292134
2026-08-17T2318Z,laliga,2,2321,J. Musso,Juan Musso,1,4244564
2026-08-17T2318Z,laliga,14,2383,Pathé I. Ciss,Pathé Ciss,3,12799987
2026-08-17T2318Z,laliga,14,2384,Unai Lopez,Unai López,3,5974492
2026-08-17T2318Z,laliga,14,2385,Pedro Díaz,Pedro Díaz,3,1737455
2026-08-17T2318Z,laliga,15,2426,E. Militão,Éder Gabriel Militão,2,11102055
2026-08-17T2318Z,laliga,16,2443,Aramburu,Jon Aramburu,2,17914009
2026-08-17T2318Z,laliga,16,2448,Oskarsson,Orri Óskarsson,4,7501974
2026-08-17T2318Z,laliga,17,2453,Agoumé,Lucien Agoumé,3,5760043
2026-08-17T2318Z,laliga,21,2474,Denis Suárez,Denis Suárez,3,2423219
2026-08-17T2318Z,laliga,6,2492,Iago Aspas,Iago Aspas,4,7014904
2026-08-17T2318Z,laliga,8,2507,Dmitrovic,Marko Dmitrovic,1,38087702
2026-08-17T2318Z,laliga,8,2516,Puado,Javi Puado,3,5917520
