observed_at,source,team_id,manager,player_id,player_name,player_name_full,position_id,market_value,points,buyout,buyout_until,player_status,player_team_id
2026-08-17T2246Z,laliga,38099509,BurtonGM89,2700,Etta Eyong,Karl Edouard Blaise Etta Eyong,4,25505804,1,40853793,2026-08-25T14:07:38+02:00,ok,24479686
2026-08-17T2246Z,laliga,38099509,BurtonGM89,3069,Blanco,Antonio Blanco,3,14803449,4,25133218,2026-08-25T14:07:38+02:00,ok,24479691
2026-08-17T2246Z,laliga,38099509,BurtonGM89,2556,Buchanan,Tajon Buchanan,3,17724640,2,31895190,2026-08-25T14:07:38+02:00,ok,24479693
2026-08-17T2246Z,laliga,38099509,BurtonGM89,3120,De Haas,Justin de Haas,2,9129519,,14434821,2026-08-25T14:07:38+02:00,ok,24479694
2026-08-17T2246Z,laliga,38099509,BurtonGM89,3037,C. Puga,Carlos Puga,2,5102130,,9084328,2026-08-25T14:07:38+02:00,ok,24479695
2026-08-17T2246Z,laliga,38099509,BurtonGM89,3098,Q. Hartman,Quilindschy Hartman,2,8289301,,15988828,2026-08-25T14:07:38+02:00,ok,24479697
2026-08-17T2246Z,laliga,38099509,BurtonGM89,2614,C. Romero,Carlos Romero,2,44039617,3,45739000,2026-08-25T22:24:12+02:00,ok,25358140
2026-08-17T2246Z,laliga,38099509,BurtonGM89,2507,Dmitrovic,Marko Dmitrovic,1,38087702,11,40010000,2026-08-26T22:24:39+02:00,ok,26838903
2026-08-17T2246Z,laliga,38099509,BurtonGM89,1031,Comesaña,Santiago Comesaña,3,33956265,-1,35276000,2026-08-26T22:24:39+02:00,ok,26838907
2026-08-17T2246Z,laliga,38099509,BurtonGM89,2474,Denis Suárez,Denis Suárez,3,2423219,2,2580315,2026-08-27T22:24:16+02:00,ok,28415429
2026-08-17T2246Z,laliga,38099509,BurtonGM89,2315,Paredes,Aitor Paredes,2,5292134,,5350000,2026-08-30T22:24:29+02:00,ok,34082884
2026-08-17T2246Z,laliga,38099509,BurtonGM89,2530,Huijsen,Dean Huijsen,2,34050589,,34050589,2026-08-30T22:24:29+02:00,ok,34082885
