observed_at,source,club,elo
2026-08-19T1245Z,clubelo,Barcelona,1980.0455939177232
2026-08-19T1245Z,clubelo,Real Madrid,1946.0739739141186
2026-08-19T1245Z,clubelo,Atlético,1876.26194815421
2026-08-19T1245Z,clubelo,Villarreal,1788.6714812590844
2026-08-19T1245Z,clubelo,Betis,1776.6517985779624
2026-08-19T1245Z,clubelo,Real Sociedad,1754.988415645191
2026-08-19T1245Z,clubelo,Valencia,1747.3107370486998
2026-08-19T1245Z,clubelo,Celta,1745.3163912920581
2026-08-19T1245Z,clubelo,Athletic Club,1739.9006256796813
2026-08-19T1245Z,clubelo,Rayo Vallecano,1722.8015152352962
2026-08-19T1245Z,clubelo,Osasuna,1711.9919821564833
2026-08-19T1245Z,clubelo,Alaves,1696.9256676361383
2026-08-19T1245Z,clubelo,Sevilla,1687.7339305835337
2026-08-19T1245Z,clubelo,Getafe,1687.4585170183848
2026-08-19T1245Z,clubelo,Espanyol,1687.3671866537136
2026-08-19T1245Z,clubelo,Elche,1685.029298521819
2026-08-19T1245Z,clubelo,Levante,1679.1428229838853
2026-08-19T1245Z,clubelo,Santander,1673.6066084818772
2026-08-19T1245Z,clubelo,Malaga,1659.9951887444622
2026-08-19T1245Z,clubelo,Depor,1655.649316430717
