observed_at,source,team_slug,player_name,player_slug,role,start_pct,status,note
2026-08-11T1439Z,futbolfantasy,alaves,Carles Aleñá,carles-alena,starter,50,ok,
2026-08-11T1439Z,futbolfantasy,alaves,Ángel Pérez,angel-perez-1,starter,80,ok,
2026-08-11T1439Z,futbolfantasy,alaves,Ville Koski,ville-koski,starter,60,ok,
2026-08-11T1439Z,futbolfantasy,alaves,Nahuel Tenaglia,nahuel-tenaglia,starter,90,ok,
2026-08-11T1439Z,futbolfantasy,alaves,Youssef Enríquez,youssef-enriquez,starter,50,ok,
2026-08-11T1439Z,futbolfantasy,alaves,Antonio Blanco,antonio-blanco,starter,90,ok,
2026-08-11T1439Z,futbolfantasy,alaves,Pablo Ibáñez,pablo-ibanez,starter,70,ok,
2026-08-11T1439Z,futbolfantasy,alaves,Antonio Sivera,antonio-sivera,starter,95,ok,
2026-08-11T1439Z,futbolfantasy,alaves,Toni Martinez,antonio-martinez,starter,80,ok,
2026-08-11T1439Z,futbolfantasy,alaves,Lucas Boyé,lucas-boye,starter,50,doubt,Molestias sin determinar Desde 07/08 (4 días) Duda para la jornada 1
2026-08-11T1439Z,futbolfantasy,alaves,Jonny Castro,jonny-castro,starter,70,ok,
2026-08-11T1439Z,futbolfantasy,alaves,Denis Suárez,denis-suarez,sub,50,ok,
2026-08-11T1439Z,futbolfantasy,alaves,Abde Rebbach,abde-rebbach,sub,50,ok,
2026-08-11T1439Z,futbolfantasy,alaves,Nicolás Valentini,nicolas-valentini,sub,30,ok,
2026-08-11T1439Z,futbolfantasy,alaves,Mikel Rodriguez,mikel-rodriguez,sub,30,ok,
2026-08-11T1439Z,futbolfantasy,alaves,Aitor Mañas,aitor-manas,sub,30,ok,
2026-08-11T1439Z,futbolfantasy,alaves,Xanet Oláiz,xanet-olaiz,sub,30,ok,
2026-08-11T1439Z,futbolfantasy,alaves,Miguel Rodríguez,miguel-rodriguez-1,sub,20,ok,
