observed_at,ff_id,name,position,team_id,team,value,delta_1d,delta_pct_1d
2026-08-11T2359Z,9423,jon karrikaburu,delantero,16,Real Sociedad,603778,-10901.0,-1.7734459774939
2026-08-11T2359Z,11766,alex sancris,delantero,8,Getafe,675231,-13878.0,-2.0139049119951
2026-08-11T2359Z,10658,roony bardghji,delantero,3,Barcelona,3312280,-110314.0,-3.2231108919141
2026-08-11T2359Z,12922,adam boayar,mediocampista,21,Elche,702711,0.0,0.0
2026-08-11T2359Z,14016,mikel santos,portero,1,Athletic,702606,0.0,0.0
2026-08-11T2359Z,697,aymeric laporte,defensa,1,Athletic,57844684,-1425743.0,-2.4054879847584
2026-08-11T2359Z,11758,alemao,delantero,14,Rayo,3778578,-48820.0,-1.2755401972829
2026-08-11T2359Z,5194,grady diangana,delantero,21,Elche,1308832,-30852.0,-2.302931138985
2026-08-11T2359Z,13748,martin krug,defensa,10,Levante,602249,0.0,0.0
2026-08-11T2359Z,12139,georges mikautadze,delantero,22,Villarreal,60355795,1085296.0,1.8310896960729
2026-08-11T2359Z,16317,marcos navarro,defensa,18,Valencia,501909,0.0,0.0
2026-08-11T2359Z,9500,fabio cardoso,defensa,17,Sevilla,902015,-23328.0,-2.5210111277656
2026-08-11T2359Z,12596,joaquin oso,defensa,17,Sevilla,14053332,0.0,0.0
2026-08-11T2359Z,16235,alex costa,delantero,17,Sevilla,602284,0.0,0.0
2026-08-11T2359Z,16155,theo folgado,portero,16,Real Sociedad,702606,0.0,0.0
2026-08-11T2359Z,2799,carlos soler,mediocampista,16,Real Sociedad,30858801,138253.0,0.4500342897529
2026-08-11T2359Z,16308,clemens riedel,defensa,7,Espanyol,4818996,-81195.0,-1.6569762280695
2026-08-11T2359Z,16014,antonio martinez bastida,mediocampista,21,Elche,602324,0.0,0.0
2026-08-11T2359Z,16198,edu altozano,mediocampista,17,Sevilla,602284,0.0,0.0
2026-08-11T2359Z,1859,josan ferrandez,mediocampista,21,Elche,1204650,0.0,0.0
2026-08-11T2359Z,16004,davinchi,defensa,8,Getafe,3011603,0.0,0.0
2026-08-11T2359Z,16237,thiago pitarch,mediocampista,15,Real Madrid,7026082,0.0,0.0
2026-08-11T2359Z,10114,renato veiga,defensa,22,Villarreal,41384324,-827489.0,-1.960325655759
2026-08-11T2359Z,16287,ivan corralejo,mediocampista,4,Betis,602248,0.0,0.0
2026-08-11T2359Z,16020,nacho perez,defensa,10,Levante,581692,0.0,0.0
2026-08-11T2359Z,16236,miguel sierra,delantero,17,Sevilla,602284,0.0,0.0
2026-08-11T2359Z,12479,ruben montero,portero,28,Alavés,602316,0.0,0.0
2026-08-11T2359Z,16018,aimar blazquez,delantero,18,Valencia,581656,0.0,0.0
2026-08-11T2359Z,12358,gabriel suazo,defensa,17,Sevilla,5398093,-9560.0,-0.17678649129299
2026-08-11T2359Z,1743,mathew ryan,portero,10,Levante,13550652,0.0,0.0
2026-08-11T2359Z,14989,kervin arriaga,mediocampista,10,Levante,2721757,-48354.0,-1.7455618204469
2026-08-11T2359Z,6235,odysseas vlachodimos,portero,17,Sevilla,16840447,543174.0,3.3329134266819
2026-08-11T2359Z,13440,tani oluwaseyi,delantero,22,Villarreal,2938955,-61103.0,-2.0367272899391
2026-08-11T2359Z,13871,taufik seidu,mediocampista,2,Atlético,602316,0.0,0.0
2026-08-11T2359Z,16723,eder aller,portero,3,Barcelona,702705,0.0,0.0
2026-08-11T2359Z,10237,rodrigo mendoza,mediocampista,2,Atlético,864355,-6173.0,-0.70910987354801
2026-08-11T2359Z,12975,yassin tallal,defensa,8,Getafe,501932,0.0,0.0
2026-08-11T2359Z,16818,asier hierro,delantero,1,Athletic,602257,0.0,0.0
2026-08-11T2359Z,12925,aitor mañas,delantero,28,Alavés,562164,0.0,0.0
2026-08-11T2359Z,16920,izei hernandez,mediocampista,28,Alavés,582010,0.0,0.0
2026-08-11T2359Z,16931,xanet olaiz,defensa,28,Alavés,602316,0.0,0.0
2026-08-11T2359Z,16975,iker muñoz,defensa,17,Sevilla,602284,0.0,0.0
2026-08-11T2359Z,14036,joan martinez,defensa,15,Real Madrid,702622,0.0,0.0
2026-08-11T2359Z,16982,unai santos,defensa,13,Osasuna,602319,0.0,0.0
2026-08-11T2359Z,16938,carlos macia,mediocampista,22,Villarreal,803057,0.0,0.0
2026-08-11T2359Z,16922,gorka carrera,delantero,16,Real Sociedad,702633,0.0,0.0
2026-08-11T2359Z,16933,pablo roson,mediocampista,10,Levante,602249,0.0,0.0
2026-08-11T2359Z,16924,huseini nakoha,defensa,10,Levante,501874,0.0,0.0
2026-08-11T2359Z,16798,marc jurado,defensa,18,Valencia,602292,0.0,0.0
2026-08-11T2359Z,16017,alejandro panach,defensa,18,Valencia,501909,0.0,0.0
2026-08-11T2359Z,14881,alex marchal,mediocampista,16,Real Sociedad,602234,0.0,0.0
2026-08-11T2359Z,12990,nordin al lal,delantero,21,Elche,501936,0.0,0.0
2026-08-11T2359Z,16758,carlos ballestero,defensa,28,Alavés,602316,0.0,0.0
2026-08-11T2359Z,16735,javi navarro,portero,15,Real Madrid,702622,0.0,0.0
2026-08-11T2359Z,16350,iker monreal,defensa,1,Athletic,602257,0.0,0.0
2026-08-11T2359Z,16349,adrian perez,delantero,1,Athletic,602257,0.0,0.0
2026-08-11T2359Z,16171,juan hernandez,mediocampista,3,Barcelona,581760,0.0,0.0
2026-08-11T2359Z,16765,xavi espart,defensa,3,Barcelona,702705,0.0,0.0
2026-08-11T2359Z,11714,jorge benito,portero,8,Getafe,602319,0.0,0.0
2026-08-11T2359Z,16166,mykyta aleksandrov,delantero,8,Getafe,602319,0.0,0.0
2026-08-11T2359Z,15273,luken beitia,defensa,16,Real Sociedad,501861,0.0,0.0
2026-08-11T2359Z,16156,oscar marcos,delantero,5,Celta,602257,0.0,0.0
2026-08-11T2359Z,11793,alex lebarbier,defensa,16,Real Sociedad,602234,0.0,0.0
2026-08-11T2359Z,16201,mahamoud barry,mediocampista,22,Villarreal,602292,0.0,0.0
2026-08-11T2359Z,16767,david delgado,defensa,21,Elche,602324,0.0,0.0
2026-08-11T2359Z,12993,alvaro garcia,defensa,28,Alavés,501929,0.0,0.0
2026-08-11T2359Z,16810,selton sanchez,mediocampista,1,Athletic,602257,0.0,0.0
2026-08-11T2359Z,16801,pablo meixus,defensa,5,Celta,485372,0.0,0.0
2026-08-11T2359Z,16158,mauro echegoyen,mediocampista,13,Osasuna,562286,0.0,0.0
2026-08-11T2359Z,14832,albert niculaesei,defensa,21,Elche,803099,0.0,0.0
2026-08-11T2359Z,12484,javier boñar,defensa,2,Atlético,445175,-4293.0,-0.9551291749357
2026-08-11T2359Z,15135,pol fortuny,mediocampista,15,Real Madrid,602234,0.0,0.0
2026-08-11T2359Z,11830,dean huijsen,defensa,15,Real Madrid,30443693,80166.0,0.26402071142789
2026-08-11T2359Z,8256,matteo ruggeri,defensa,2,Atlético,6458665,-144050.0,-2.1816782944592
2026-08-11T2359Z,8250,jose salinas,defensa,11,Málaga,1070070,0.0,0.0
