observed_at,source,match_id,path,jornada,home,away,score
2026-08-16T2253Z,futbolfantasy,22421,22421-alaves-getafe,1,alaves,getafe,3-0
2026-08-16T2253Z,futbolfantasy,22429,22429-sevilla-rayo,1,sevilla,rayo-vallecano,2-1
2026-08-16T2253Z,futbolfantasy,22427,22427-racing-villarreal,1,racing,villarreal,2-2
2026-08-16T2253Z,futbolfantasy,22425,22425-espanyol-levante,1,espanyol,levante,3-0
2026-08-16T2253Z,futbolfantasy,22424,22424-deportivo-elche,1,deportivo,elche,
2026-08-16T2253Z,futbolfantasy,22422,22422-atletico-malaga,1,atletico,malaga,
2026-08-16T2253Z,futbolfantasy,22430,22430-valencia-betis,1,valencia,betis,
2026-08-16T2253Z,futbolfantasy,22428,22428-real-madrid-real-sociedad,1,real-madrid,real-sociedad,
2026-08-16T2253Z,futbolfantasy,22423,22423-celta-osasuna,1,celta,osasuna,
2026-08-16T2253Z,futbolfantasy,22426,22426-barcelona-athletic,1,barcelona,athletic,
2026-08-16T2253Z,futbolfantasy,22440,22440-rayo-alaves,2,rayo-vallecano,alaves,
2026-08-16T2253Z,futbolfantasy,22441,22441-betis-real-sociedad,2,betis,real-sociedad,
2026-08-16T2253Z,futbolfantasy,22433,22433-athletic-sevilla,2,athletic,sevilla,
2026-08-16T2253Z,futbolfantasy,22442,22442-valencia-celta,2,valencia,celta,
2026-08-16T2253Z,futbolfantasy,22436,22436-espanyol-real-madrid,2,espanyol,real-madrid,
2026-08-16T2253Z,futbolfantasy,22434,22434-atletico-villarreal,2,atletico,villarreal,
2026-08-16T2253Z,futbolfantasy,22437,22437-getafe-racing,2,getafe,racing,
2026-08-16T2253Z,futbolfantasy,22435,22435-elche-barcelona,2,elche,barcelona,
2026-08-16T2253Z,futbolfantasy,22439,22439-osasuna-levante,2,osasuna,levante,
2026-08-16T2253Z,futbolfantasy,22438,22438-malaga-deportivo,2,malaga,deportivo,
2026-08-16T2253Z,futbolfantasy,22450,22450-racing-elche,3,racing,elche,
2026-08-16T2253Z,futbolfantasy,22444,22444-alaves-villarreal,3,alaves,villarreal,
2026-08-16T2253Z,futbolfantasy,22447,22447-levante-betis,3,levante,betis,
2026-08-16T2253Z,futbolfantasy,22451,22451-real-sociedad-espanyol,3,real-sociedad,espanyol,
2026-08-16T2253Z,futbolfantasy,22452,22452-sevilla-atletico,3,sevilla,atletico,
2026-08-16T2253Z,futbolfantasy,22449,22449-real-madrid-malaga,3,real-madrid,malaga,
2026-08-16T2253Z,futbolfantasy,22445,22445-deportivo-valencia,3,deportivo,valencia,
2026-08-16T2253Z,futbolfantasy,22443,22443-celta-athletic,3,celta,athletic,
2026-08-16T2253Z,futbolfantasy,22448,22448-osasuna-getafe,3,osasuna,getafe,
2026-08-16T2253Z,futbolfantasy,22446,22446-barcelona-rayo,3,barcelona,rayo-vallecano,
2026-08-16T2253Z,futbolfantasy,22453,22453-athletic-atletico,4,athletic,atletico,
2026-08-16T2253Z,futbolfantasy,22454,22454-alaves-osasuna,4,alaves,osasuna,
2026-08-16T2253Z,futbolfantasy,22455,22455-elche-real-sociedad,4,elche,real-sociedad,
2026-08-16T2253Z,futbolfantasy,22456,22456-espanyol-sevilla,4,espanyol,sevilla,
