player_id,name,club_id,ff_slug,af_slug,app_id,understat_id,app_names
10003,joseda alvarez,alaves,,,,,
10005,pablo barrios,atletico,pablo-barrios,336594,1565,,Barrios
10114,renato veiga,villarreal,renato-veiga,336671,,11383,
10176,alvaro f. carreras,real madrid,lvaro-fernandez-1,,,,
10191,alejandro primo,levante,alejandro-primo,,,,
10192,carlos gimenez,atletico,,,,,
10207,williot swedberg,celta,williot-swedberg,,2394,10870,Williot
10208,jonathan dubasin,osasuna,jonathan-dubasin,,3183,,Dubasin
10209,facundo gonzalez,racing,facundo-gonzalez,286595,,14691,
10210,fran perez,rayo,fran-perez,162931,,10944,
10213,beñat gerenabarrena,athletic,benat-gerenabarrena,332307,,14777,
10214,alex padilla,athletic,alex-padilla,,,12227,
10217,marc casado,barcelona,marc-casado,,,11151,
10219,angel fortuño,espanyol,ngel-fortuno,,,10874,
10220,omar el hilali,espanyol,omar-el-hilali,,1930,10875,El Hilali
10233,angel ortiz,betis,ngel-ortiz,334574,,13374,
10237,rodrigo mendoza,atletico,rodrigo-mendoza,341371,,11216,
10247,arnau sola,atletico,,,,,
10258,pablo ibañez,alaves,pablo-ibanez,139001,,10857,
10287,julian alvarez,atletico,julian-lvarez,6009,3088,10846,Julián Alvarez
10326,karl etta eyong,levante,etta-eyong,,2700,10930,Etta Eyong
10328,marc domenech,atletico,,,,,
10336,alvaro mantilla,racing,lvaro-mantilla,181685,,14686,
10338,iñigo sainz-maza,racing,nigo-sainz-maza,,3000,,Iñigo
10341,peque,sevilla,peque,,2455,12742,Peque
10353,alex pastor,malaga,lex-pastor,,3059,,Pastor
10357,adria altimira,deportivo,adria-altimira,,,11834,
10358,marc aguado,elche,marc-aguado,187318,,13839,
10393,morten hjulmand,atletico,morten-hjulmand,,,10903,
10448,carlos benavidez,alaves,carlos-benavidez,,,11826,
10463,orel mangala,getafe,orel-mangala,,,6088,
10473,giacomo quagliata,deportivo,giacomo-quagliata,,2963,10940,Quagliata
10476,abde rebbach,alaves,abde-rebbach,183751,,,
10478,miguel loureiro,deportivo,miguel-loureiro,,,,
10533,andre almeida,valencia,andre-almeida-1,,,11057,
10564,yvan neyou,getafe,yvan-neyou,,,8689,
1059,antonio sivera,alaves,antonio-sivera,,988,6075,Sivera
10638,tajon buchanan,villarreal,tajon-buchanan,,2556,12322,Buchanan
10658,roony bardghji,barcelona,roony-bardghji,,,14064,
10660,orri steinn oskarsson,real sociedad,orri-steinn-skarsson,,2448,13048,Oskarsson
10767,sergio mestre,real madrid,sergio-mestre,,,,
10822,pablo duran,celta,pablo-duran,,,11154,
