observed_at,source,season,date,home_name,away_name,home,away,home_goals,away_goals,home_xg,away_xg,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_corners,away_corners
2026-08-20T1514Z,football-data,2324,2023-08-11,Almeria,Vallecano,,rayo-vallecano,0,2,,,19,10,5,4,8,3
2026-08-20T1514Z,football-data,2324,2023-08-11,Sevilla,Valencia,sevilla,valencia,1,2,,,9,10,3,3,8,1
2026-08-20T1514Z,football-data,2324,2023-08-12,Sociedad,Girona,real-sociedad,,1,1,,,15,6,2,1,4,1
2026-08-20T1514Z,football-data,2324,2023-08-12,Las Palmas,Mallorca,,,1,1,,,5,12,2,2,3,6
2026-08-20T1514Z,football-data,2324,2023-08-12,Ath Bilbao,Real Madrid,athletic,real-madrid,0,2,,,7,14,1,8,7,5
2026-08-20T1514Z,football-data,2324,2023-08-13,Celta,Osasuna,celta,osasuna,0,2,,,11,11,1,5,7,2
2026-08-20T1514Z,football-data,2324,2023-08-13,Villarreal,Betis,villarreal,betis,1,2,,,18,12,5,5,9,4
2026-08-20T1514Z,football-data,2324,2023-08-13,Getafe,Barcelona,getafe,barcelona,0,0,,,5,14,2,4,3,4
2026-08-20T1514Z,football-data,2324,2023-08-14,Cadiz,Alaves,,alaves,1,0,,,12,10,3,2,2,4
2026-08-20T1514Z,football-data,2324,2023-08-14,Ath Madrid,Granada,atletico,,3,1,,,14,7,6,4,3,3
2026-08-20T1514Z,football-data,2324,2023-08-18,Mallorca,Villarreal,,villarreal,0,1,,,8,15,1,3,6,5
2026-08-20T1514Z,football-data,2324,2023-08-18,Valencia,Las Palmas,valencia,,1,0,,,9,7,4,1,6,4
2026-08-20T1514Z,football-data,2324,2023-08-19,Sociedad,Celta,real-sociedad,celta,1,1,,,11,17,2,6,9,7
2026-08-20T1514Z,football-data,2324,2023-08-19,Almeria,Real Madrid,,real-madrid,1,3,,,20,24,8,9,4,5
2026-08-20T1514Z,football-data,2324,2023-08-19,Osasuna,Ath Bilbao,osasuna,athletic,0,2,,,18,8,7,2,5,3
2026-08-20T1514Z,football-data,2324,2023-08-20,Girona,Getafe,,getafe,3,0,,,7,9,6,2,3,2
2026-08-20T1514Z,football-data,2324,2023-08-20,Barcelona,Cadiz,barcelona,,2,0,,,23,10,10,1,10,2
2026-08-20T1514Z,football-data,2324,2023-08-20,Betis,Ath Madrid,betis,atletico,0,0,,,14,5,0,1,2,7
2026-08-20T1514Z,football-data,2324,2023-08-21,Alaves,Sevilla,alaves,sevilla,4,3,,,14,12,7,2,4,4
2026-08-20T1514Z,football-data,2324,2023-08-21,Granada,Vallecano,,rayo-vallecano,0,2,,,14,17,7,9,5,6
2026-08-20T1514Z,football-data,2324,2023-08-25,Las Palmas,Sociedad,,real-sociedad,0,0,,,11,8,5,1,5,7
