# GENERATED — do not hand-edit. Rebuilt from the app's activity feed by
# src/ledger.py on every run; anything typed here is overwritten.
#
# This was a hand-maintained file until 2026-08-18. It fell three days behind
# and the report offered a budget 39.69M larger than the real one, so it is
# derived now. Git history is the audit trail.
#
# `from`/`to` name the pool as one side of every deal: the feed reports only
# the manager who acted, and a manager-to-manager transfer does not appear as
# a paired buy and sell, so the counterparty genuinely cannot be recovered.
# Ownership, prices and premiums are unaffected.
date,player,player_id,from,to,price,note
2026-08-11T22:24,Cardoso,2790,market,Magic Mike 333,949269,from the app
2026-08-11T22:24,Turrientes,1215,market,miguel_autentico,6892898,from the app
2026-08-11T22:24,Quagliata,2963,market,BurtonGM89,4000000,from the app
2026-08-11T22:24,C. Romero,2614,market,BurtonGM89,45739000,from the app
2026-08-11T22:42,Egiluz,2936,BurtonGM89,market,468693,from the app
2026-08-11T23:24,Vivian,2314,Albert Laporta,market,11664367,from the app
2026-08-11T23:25,Manuel Fernández,2653,Albert Laporta,market,373500,from the app
2026-08-11T23:25,Pathé I. Ciss,2383,Albert Laporta,market,10393147,from the app
2026-08-11T23:26,Puado,2516,Albert Laporta,market,8041411,from the app
2026-08-12T22:24,Dmitrovic,2507,market,BurtonGM89,40010000,from the app
2026-08-12T22:24,Raphinha,2522,market,Magic Mike 333,80000000,from the app
2026-08-12T22:24,Pedro Díaz,2385,market,Magic Mike 333,2050000,from the app
2026-08-12T22:24,Karrikaburu,2619,market,Magic Mike 333,700000,from the app
2026-08-12T22:24,Comesaña,1031,market,BurtonGM89,35276000,from the app
2026-08-12T22:24,Ez Abde,3089,market,Albert Laporta,49991863,from the app
2026-08-13T13:12,Oskarsson,2448,miguel_autentico,market,8567036,from the app
2026-08-13T13:12,D. Martínez,2881,miguel_autentico,market,425612,from the app
2026-08-13T13:13,Hugo Duro,1191,miguel_autentico,market,8800811,from the app
2026-08-13T22:24,Giuliano,1210,market,SusoGattuso,44652302,from the app
2026-08-13T22:24,Arda Güler,1674,market,Albert Laporta,50836360,from the app
2026-08-13T22:24,Cabrera,3068,market,Albert Laporta,17500002,from the app
2026-08-13T22:24,Villalibre,3022,market,Albert Laporta,6954257,from the app
2026-08-13T22:24,Denis Suárez,2474,market,BurtonGM89,2580315,from the app
2026-08-13T22:25,J. Musso,2321,BurtonGM89,market,4748599,from the app
2026-08-13T22:26,Iago Aspas,2492,BurtonGM89,market,7275530,from the app
2026-08-13T22:26,Unai Lopez,2384,BurtonGM89,market,5762182,from the app
2026-08-13T22:26,Joaquín,3034,BurtonGM89,market,6489738,from the app
2026-08-13T22:26,Dieng,3121,BurtonGM89,market,5284122,from the app
2026-08-13T23:40,Purić,2883,SusoGattuso,market,476265,from the app
2026-08-14T13:49,Asencio,2146,Magic Mike 333,market,5130033,from the app
2026-08-14T13:50,Lucas Boyé,2768,Magic Mike 333,market,14013107,from the app
2026-08-14T22:24,T. Morente,2941,market,Magic Mike 333,2033651,from the app
2026-08-14T22:24,Aramburu,2443,market,SusoGattuso,17785551,from the app
2026-08-14T22:24,Eriksson,3018,market,miguel_autentico,2933863,from the app
2026-08-14T22:24,Gavi,1221,market,Magic Mike 333,35500000,from the app
2026-08-14T22:24,Agoumé,2453,market,miguel_autentico,5891526,from the app
2026-08-14T22:24,Ionut Radu,2713,market,miguel_autentico,39655832,from the app
2026-08-14T22:51,R.P. Bigas,2294,Albert Laporta,market,5323361,from the app
2026-08-15T22:24,Mouriño,1959,market,Albert Laporta,40516387,from the app
2026-08-15T22:24,Fornals,3099,market,miguel_autentico,58220110,from the app
