observed_at,source,season,understat_id,player_name,team_title,team,position,games,minutes,goals,assists,xg,xa,npg,npxg,shots,key_passes
2026-08-21T0630Z,understat,2025,3423,Kylian Mbappe-Lottin,Real Madrid,real-madrid,F S,31,2623,25,5,25.796528611332178,7.240631651133299,17,19.107029650360346,146,65
2026-08-21T0630Z,understat,2025,9002,Vedat Muriqi,Mallorca,,F S,37,3150,23,1,21.630785251036286,2.4853103263303638,18,16.427841836586595,114,24
2026-08-21T0630Z,understat,2025,1235,Ante Budimir,Osasuna,osasuna,F S,37,2995,17,0,19.191765047609806,1.7123363316059113,11,13.24554404988885,103,16
2026-08-21T0630Z,understat,2025,6441,Ferrán Torres,Barcelona,barcelona,F M S,33,2025,16,2,16.183371974155307,3.157755734398961,16,16.183371974155307,69,23
2026-08-21T0630Z,understat,2025,7008,Vinícius Júnior,Real Madrid,real-madrid,F M S,36,2865,16,5,14.403762575238943,7.155190063640475,12,10.687374416738749,100,69
2026-08-21T0630Z,understat,2025,11527,Lamine Yamal,Barcelona,barcelona,F M S,28,2291,16,11,14.664689928293228,12.566995456814766,13,11.691579438745975,117,73
2026-08-21T0630Z,understat,2025,2234,Mikel Oyarzabal,Real Sociedad,real-sociedad,F S,34,2727,15,4,16.028234442695975,5.957455115392804,8,10.825419073924422,79,42
2026-08-21T0630Z,understat,2025,227,Robert Lewandowski,Barcelona,barcelona,F S,31,1630,14,2,16.066804450005293,2.2795287035405636,13,13.836971666663885,63,13
2026-08-21T0630Z,understat,2025,2543,Borja Iglesias,Celta Vigo,celta,F S,35,1903,14,2,11.60863982141018,1.6599800884723663,10,8.635529387742281,46,17
2026-08-21T0630Z,understat,2025,6400,Antonio Martínez,Alaves,alaves,F S,37,2750,14,3,12.836471602320671,3.8200031016021967,13,12.09319394826889,93,24
2026-08-21T0630Z,understat,2025,6531,Alexander Sørloth,Atletico Madrid,atletico,F S,35,1955,13,0,13.927608631551266,1.2237359210848808,13,13.927608631551266,68,10
2026-08-21T0630Z,understat,2025,8026,Raphinha,Barcelona,barcelona,F M S,22,1424,13,3,11.12714341841638,5.906838221475482,10,8.897310553118587,65,40
2026-08-21T0630Z,understat,2025,8187,Georges Mikautadze,Villarreal,villarreal,F S,33,2155,13,6,15.062094315886497,4.149701787158847,13,15.062094315886497,66,29
2026-08-21T0630Z,understat,2025,1189,Lucas Boyé,Alaves,alaves,F M S,29,1960,11,1,11.103807976469398,2.709607819095254,8,8.873975029215217,63,28
2026-08-21T0630Z,understat,2025,6954,Juan Camilo Hernández,Real Betis,betis,F S,32,2623,11,3,12.400350131094456,4.870423881337047,10,11.657072521746159,89,34
2026-08-21T0630Z,understat,2025,13769,Carlos Espí,Levante,levante,F S,25,1328,11,0,9.884630508720875,0.6899255998432636,11,9.884630508720875,57,9
2026-08-21T0630Z,understat,2025,2120,Gerard Moreno,Villarreal,villarreal,F S,22,1368,10,0,7.015236139297485,3.00478845089674,7,4.78540326654911,39,23
2026-08-21T0630Z,understat,2025,6170,André Silva,Elche,elche,F S,31,1858,10,0,10.836609966121614,1.556909404695034,7,8.606777063570917,57,22
2026-08-21T0630Z,understat,2025,6637,Hugo Duro,Valencia,valencia,F S,36,1979,10,0,10.062427267432213,1.7364629544317722,9,8.575872018933296,36,17
2026-08-21T0630Z,understat,2025,7020,Gorka Guruzeta,Athletic Club,athletic,F M S,35,2401,10,3,11.726107958704233,3.5015047043561935,9,10.982830349355936,84,26
2026-08-21T0630Z,understat,2025,8107,Jorge De Frutos,Rayo Vallecano,rayo-vallecano,F M S,36,2526,10,1,12.133321626111865,3.344836812466383,9,11.390043957158923,63,31
2026-08-21T0630Z,understat,2025,10095,Abdessamad Ezzalzouli,Real Betis,betis,F M S,29,2275,10,8,10.301263853907585,6.2180118300020695,10,10.301263853907585,73,32
2026-08-21T0630Z,understat,2025,11783,Akor Adams,Sevilla,sevilla,F S,32,2048,10,3,10.047341846860945,1.1498911064118147,7,7.8175089890137315,61,13
2026-08-21T0630Z,understat,2025,12160,Alberto Moleiro,Villarreal,villarreal,F M S,38,2535,10,5,5.6144147682935,5.77781119197607,10,5.6144147682935,46,38
2026-08-21T0630Z,understat,2025,2335,Pablo Fornals,Real Betis,betis,F M S,37,2912,9,6,4.941328717395663,7.8924933429807425,9,4.941328717395663,43,84
2026-08-21T0630Z,understat,2025,5656,Nicolas Pepe,Villarreal,villarreal,F M S,37,2497,9,8,9.80356877669692,8.080096108838916,7,8.317013502120972,65,55
2026-08-21T0630Z,understat,2025,8549,Ferrán Jutglà,Celta Vigo,celta,F M S,30,1702,9,3,6.59795877058059,1.5541915334761143,9,6.59795877058059,45,15
2026-08-21T0630Z,understat,2025,13048,Orri Óskarsson,Real Sociedad,real-sociedad,F S,20,822,9,0,7.336163688451052,0.4746837932616472,9,7.336163688451052,27,4
2026-08-21T0630Z,understat,2025,13705,Federico Viñas,Real Oviedo,,F M S,34,2575,9,1,9.87893870100379,3.0277516916394234,7,8.392383448779583,60,29
2026-08-21T0630Z,understat,2025,14041,Vladyslav Vanat,Girona,,F,27,2003,9,1,9.496832385659218,2.1041252370923758,6,7.2669995576143265,27,12
2026-08-21T0630Z,understat,2025,556,Marcus Rashford,Barcelona,barcelona,F M S,32,1739,8,7,8.697766778059304,4.963629940524697,8,8.697766778059304,76,46
2026-08-21T0630Z,understat,2025,2589,Rafa Mir,Elche,elche,F M S,27,1834,8,0,8.264916526153684,1.7095182929188013,7,6.778489189222455,69,9
2026-08-21T0630Z,understat,2025,5074,Kike García,Espanyol,espanyol,F S,37,1694,8,1,10.003981161862612,2.6575004514306784,7,8.517553839832544,60,19
2026-08-21T0630Z,understat,2025,5682,Gonçalo Guedes,Real Sociedad,real-sociedad,F M S,32,1833,8,4,4.142274813726544,2.665413634851575,8,4.142274813726544,46,24
2026-08-21T0630Z,understat,2025,10846,Julián Álvarez,Atletico Madrid,atletico,F S,29,1926,8,4,8.894600672647357,6.265264900401235,6,6.664767829701304,54,47
2026-08-21T0630Z,understat,2025,11094,Antony,Real Betis,betis,F M S,32,2495,8,6,9.02497192658484,6.643909856677055,8,9.02497192658484,90,56
2026-08-21T0630Z,understat,2025,2270,Antoine Griezmann,Atletico Madrid,atletico,F S,34,1428,7,4,8.293904645368457,4.9885023310780525,7,8.293904645368457,47,32
2026-08-21T0630Z,understat,2025,4175,Pere Milla,Espanyol,espanyol,F M S,33,2005,7,1,7.654542326927185,4.100008985027671,7,7.654542326927185,59,34
2026-08-21T0630Z,understat,2025,8042,Raul García,Osasuna,osasuna,F S,36,926,7,1,6.938203576952219,1.1225733663886786,7,6.938203576952219,39,12
2026-08-21T0630Z,understat,2025,8292,Dani Olmo,Barcelona,barcelona,F M S,33,2109,7,8,8.75443153269589,6.657491793856025,7,8.75443153269589,70,50
2026-08-21T0630Z,understat,2025,9275,Iván Romero,Levante,levante,F M S,32,2339,7,1,9.594019802287221,2.88573707267642,7,8.850742192938924,59,25
2026-08-21T0630Z,understat,2025,10930,Etta Eyong,"Levante,Villarreal",,F S,33,1657,7,4,11.020547241903841,2.822161927819252,7,10.277269617654383,50,15
2026-08-21T0630Z,understat,2025,10974,Samú Costa,Mallorca,,M S,34,2731,7,2,4.27746016997844,1.9799835188314319,7,4.27746016997844,39,17
