date,player,from,to,price,note
# Append-only ledger. From the app's Activity feed, one row per Market
# operation; ignore "New member" entries. Never delete rows — current
# ownership is derived by replaying all of them over
# inputs/rosters_initial.txt.
#
# date   full timestamp, YYYY-MM-DDTHH:MM, same clock as the app shows.
#        Sorted as text, so ISO order = real order. Get this right: two
#        rows for the same player on the same day depend on it.
# player the name as it appears in data/tidy, not as the app abbreviates
#        it. Resolve with find_slug.py first.
# from   app handle from rosters_initial.txt, or "market"
# to     same, or "market" for a sale
# price  euros, digits only
#
# "X has purchased P from LALIGA"  -> from=market, to=X
# "X has sold player P to LALIGA"  -> from=X,      to=market
# A manager-to-manager deal is one row: from=X, to=Y.
2026-08-11T21:24,giacomo quagliata,market,BurtonGM89,4000000,
2026-08-11T21:24,carlos romero,market,BurtonGM89,45739000,
2026-08-11T21:24,fabio cardoso,market,Magic Mike 333,949269,price confirms Fabio not Johnny
2026-08-11T21:24,beñat turrientes,market,miguel_autentico,6892898,bid resolved
2026-08-11T21:42,unai egiluz,BurtonGM89,market,468693,
2026-08-11T22:24,dani vivian,Albert Laporta,market,11664367,
2026-08-11T22:25,manuel fernandez,Albert Laporta,market,373500,
2026-08-11T22:25,pathe ciss,Albert Laporta,market,10393147,
2026-08-11T22:26,javi puado,Albert Laporta,market,8041411,
2026-08-12T21:24,abde ezzalzouli,market,Albert Laporta,49991863,
2026-08-12T21:24,santi comesaña,market,BurtonGM89,35276000,
2026-08-12T21:24,jon karrikaburu,market,Magic Mike 333,700000,
2026-08-12T21:24,pedro diaz,market,Magic Mike 333,2050000,slug unverified
2026-08-12T21:24,raphinha,market,Magic Mike 333,80000000,
2026-08-12T21:24,marko dmitrovic,market,BurtonGM89,40010000
